uploader,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,dominant_class,dominant_top
theyaoster,1,0.21348017749845422,0.0,0.0,1.0,0.0,ss-u,ss
bjporu,1,0.21387480175541726,0.0,0.0,1.0,0.0,is-s,is
zkilltz,1,0.21410789273656566,0.0,0.0,1.0,0.0,ss-n,ss
Berolzheimer,1,0.21414370167355745,0.0,0.0,0.0,0.0,fx-a,fx
sarazhuang,1,0.21418050162000002,0.0,0.0,0.0,0.0,fx-v,fx
apintofmild,5,0.21425555553963496,0.0,0.2,0.0,0.0,ss-i,ss
CRTea,1,0.2146725797782073,0.0,0.0,0.0,0.0,fx-h,fx
ihitokage,2,0.2147845148897646,0.0,0.5,0.5,0.0,sp-s,sp
Filmsounduser,1,0.21483909784517558,0.0,0.0,0.0,0.0,fx-h,fx
gadziller,1,0.2149304072834832,0.0,0.0,0.0,0.0,fx-h,fx
studiogreenhill,1,0.21493438851948315,0.0,0.0,1.0,0.0,ss-n,ss
travel.lover12,1,0.21494511521951304,0.0,0.0,0.0,0.0,is-k,is
maeve.linehan,1,0.21595212509028364,0.0,0.0,1.0,0.0,ss-n,ss
juhon,44,0.2160337191570788,0.0,0.5454545454545454,0.22727272727272727,0.0,ss-u,ss
eelsake,2,0.21606169283550733,0.0,0.0,0.5,0.0,fx-m,fx
Prauchi,1,0.21613812131797644,0.0,0.0,1.0,0.0,fx-n,fx
rebeccagray,2,0.2161726791847142,0.0,0.0,1.0,0.0,sp-s,sp
freefxapi,2,0.2162580754855806,0.0,0.5,0.5,0.0,ss-n,ss
V1brant,2,0.21633441946449716,0.0,0.0,1.0,0.0,ss-n,ss
johnbudzyna,1,0.2164476872025864,0.0,0.0,0.0,0.0,ss-n,ss
dcart-sound,1,0.21647065449318006,0.0,0.0,1.0,0.0,fx-o,fx
KyriaT,2,0.21650589128182285,0.0,0.0,1.0,0.0,sp-s,sp
AndreaGutierrez,1,0.216658400488961,0.0,0.0,1.0,0.0,ss-n,ss
DaveOfDefeat2248,2,0.2167133317208868,0.0,0.5,0.5,0.0,ss-n,ss
santipdb,1,0.21735904637078668,0.0,0.0,0.0,0.0,fx-h,fx
MichelleLMM,34,0.217497695483462,0.0,0.5,0.5,0.0,ss-u,ss
Dutch_Duke,1,0.2175314320791526,0.0,0.0,0.0,0.0,fx-a,fx
Jaokh,1,0.2176036292914025,0.0,1.0,0.0,0.0,ss-n,ss
dbache,5,0.21812582999460042,0.0,0.0,0.2,0.0,ss-u,ss
tomhannen,2,0.21826500432256718,0.0,0.0,0.0,0.0,fx-n,fx
realmadpuppy,1,0.2184838527,0.0,0.0,0.0,0.0,fx-a,fx
Nehal.parab,1,0.21851218257937838,0.0,0.0,1.0,0.0,ss-n,ss
fax_drummer,2,0.21862731890992132,0.0,0.0,1.0,0.0,is-p,is
QuFujiFler,1,0.21866238425051782,0.0,0.0,1.0,0.0,ss-n,ss
mellow_minx,1,0.2186771144337549,0.0,0.0,1.0,0.0,ss-n,ss
Dellcough,1,0.21891459185660422,0.0,0.0,1.0,0.0,sp-c,sp
VasiliVasia,3,0.2189204143590748,0.0,0.0,0.3333333333333333,0.0,is-e,is
ElenZack,1,0.21904209669057534,0.0,0.0,1.0,0.0,ss-n,ss
GENERALMiDiGUy,5,0.21912094289310136,0.0,0.0,1.0,0.0,is-p,is
Xekilor,2,0.21918343452317218,0.0,0.0,1.0,0.0,ss-n,ss
Shampsuli,25,0.21948032564419148,0.0,0.2,0.8,0.0,ss-u,ss
ferventtorpor,1,0.2197169279161187,0.0,0.0,0.0,0.0,ss-n,ss
areniporgen,8,0.21981550495078805,0.0,0.125,0.125,0.0,sp-p,sp
LauriT321,37,0.21981555668888997,0.0,0.13513513513513514,0.8378378378378378,0.0,ss-u,ss
Harel17,1,0.21996471819598384,0.0,0.0,1.0,0.0,sp-s,sp
naved_fardeen_khan,40,0.21997697858785964,0.0,0.1,0.85,0.0,ss-u,ss
Virengifo18,1,0.22015582164210934,0.0,0.0,1.0,0.0,ss-n,ss
yabitucks,1,0.2204528109778435,0.0,0.0,0.0,0.0,fx-a,fx
adrianmusic5324q15,1,0.22049788332785772,0.0,0.0,1.0,0.0,ss-n,ss
Kookie_Child773,1,0.22066850860557746,0.0,0.0,1.0,0.0,ss-i,ss
paulprit,1,0.22069147804478256,0.0,0.0,1.0,0.0,ss-n,ss
pampueror,1,0.2206959805414199,0.0,0.0,0.0,0.0,ss-u,ss
shouya_trumpet,1,0.22097015208844764,0.0,0.0,0.0,0.0,ss-n,ss
1volcano,15,0.2210379538065554,0.0,0.0,1.0,0.0,is-p,is
Lampe2020,1,0.22123500358915435,0.0,0.0,1.0,0.0,ss-i,ss
Nox_Sound,16,0.22141036013346016,0.0,0.25,0.25,0.0625,ss-n,ss
gombi1111,1,0.22168632535778285,0.0,0.0,0.0,0.0,fx-ex,fx
Gooblet243,1,0.22180155829280954,0.0,0.0,1.0,0.0,is-p,is
junchang1105,2,0.22185879699105873,0.0,0.5,0.0,0.0,ss-i,ss
JNewhook99,1,0.22196066303635353,0.0,0.0,1.0,0.0,ss-n,ss
AndreAndradePerez,1,0.22196445546160043,0.0,0.0,1.0,0.0,ss-u,ss
t3working,9,0.2222174095123666,0.0,0.0,1.0,0.0,ss-i,ss
bumblebeeberry,1,0.2224884456718415,0.0,1.0,0.0,0.0,ss-n,ss
Zajjman,1,0.22256450781229203,0.0,0.0,1.0,0.0,ss-n,ss
airportpeople,1,0.22297136627603753,0.0,0.0,0.0,0.0,ss-n,ss
magagn,1,0.22307046677696926,0.0,0.0,1.0,0.0,ss-n,ss
ElectricHert,1,0.223096163972879,0.0,0.0,1.0,0.0,fx-a,fx
Jonathan_Valdes,1,0.22365265391735237,0.0,0.0,1.0,0.0,ss-n,ss
floppa2525,1,0.22367992278687437,0.0,0.0,1.0,0.0,ss-n,ss
317music,1,0.22378829991529364,0.0,0.0,0.0,0.0,fx-el,fx
coolpoptot,1,0.22379343577877778,0.0,0.0,0.0,0.0,is-s,is
clod111,3,0.22402451421885597,0.0,0.0,1.0,0.0,sp-s,sp
ArturockSalva,1,0.22414592470697434,0.0,0.0,1.0,0.0,ss-n,ss
ngabrie,1,0.2242062528565905,0.0,0.0,1.0,0.0,ss-n,ss
ilttiwaw,1,0.22420831010395692,0.0,1.0,0.0,0.0,ss-n,ss
liambratchford,1,0.22449450007827462,0.0,0.0,0.0,0.0,fx-n,fx
mrocamora,1,0.22452683486569058,0.0,1.0,0.0,0.0,ss-n,ss
amypix,1,0.2245354624718818,0.0,0.0,0.0,0.0,fx-el,fx
dOPdOPdOP,10,0.22465913804654178,0.0,0.0,1.0,0.0,m-sp,m
craigharbor,1,0.22475586065086667,0.0,0.0,1.0,0.0,ss-n,ss
cocornel,1,0.22479616122009718,0.0,0.0,1.0,0.0,ss-n,ss
TeamEnFil,2,0.22493630585176452,0.0,0.0,0.5,0.0,fx-a,fx
jackieAZ,1,0.22495910453780077,0.0,0.0,0.0,0.0,m-m,m
gareth8118,1,0.22514100415793795,0.0,0.0,0.0,0.0,ss-n,ss
EduardoNajera,2,0.22561936710552363,0.0,0.5,0.5,0.0,ss-n,ss
teatov,1,0.2258023533400499,0.0,0.0,1.0,0.0,ss-n,ss
