method,score_column,objective,threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,recall_gap,min_recall
5-class P4+P5,fiveclass_p45,macro-F1-optimal,0.5700000000000001,0.687842278203724,0.7700492297919644,0.7108928309632019,0.739289525842354,0.6733912171711486,0.6803557262433906,0.6751940010380748,0.6498186215235792,0.7108928309632019,0.8311530819334549,0.7473337461467155,,
5-class P4+P5,fiveclass_p45,balanced recall 123/45,0.591,0.6827309236947792,0.7801976880549506,0.6827444656208767,0.7282251759186865,0.6731347373501142,0.6827265254343803,0.6735841950630486,0.6827085852478839,0.6827444656208767,0.8311530819334549,0.7473337461467155,3.588037299273594e-05,0.6827085852478839
5-class P4+P5,fiveclass_p45,precision-optimal @ recall>=0.70,0.577,0.6849215041986126,0.7719128329297821,0.7010702243072863,0.7347879532882606,0.6718207306845928,0.6796765873652514,0.6733741924714685,0.6582829504232165,0.7010702243072863,0.8311530819334549,0.7473337461467155,,
5-class P4+P5,fiveclass_p45,recall-optimal @ precision>=0.70,0.421,0.688846294267981,0.7003287928604979,0.8743585984459756,0.7777270652670014,0.6745496423318883,0.62859405133907,0.629623988907265,0.38282950423216444,0.8743585984459756,0.8311530819334549,0.7473337461467155,,
5-class margin P45-P3,fiveclass_margin_p45_minus_p3,F1-optimal,0.0,0.6778933917488135,0.6893259719346676,0.8786101744612227,0.7725427006123107,0.6616391132882887,0.6127029106888943,0.6104389288586018,0.3467956469165659,0.8786101744612227,0.8293756687535543,0.7411281789097508,,
5-class margin P45-P3,fiveclass_margin_p45_minus_p3,macro-F1-optimal,0.26,0.6856516976998904,0.7742407016404093,0.6988711332649171,0.7346278317152104,0.6731174335457725,0.681358178482519,0.6745671059180485,0.6638452237001209,0.6988711332649171,0.8293756687535543,0.7411281789097508,,
5-class margin P45-P3,fiveclass_margin_p45_minus_p3,balanced recall 123/45,0.281,0.6828221978824388,0.780328418230563,0.6827444656208767,0.728282117444679,0.673243599652571,0.6828474444186607,0.6736883567602656,0.682950423216445,0.6827444656208767,0.8293756687535543,0.7411281789097508,0.00020595759556829574,0.6827444656208767
5-class margin P45-P3,fiveclass_margin_p45_minus_p3,precision-optimal @ recall>=0.70,0.258,0.685469149324571,0.7730140753923314,0.7004838000293212,0.7349638517151208,0.6725803361254851,0.6805925650690741,0.6741036991460003,0.660701330108827,0.7004838000293212,0.8293756687535543,0.7411281789097508,,
5-class margin P45-P3,fiveclass_margin_p45_minus_p3,recall-optimal @ precision>=0.70,0.043000000000000003,0.6816356334428624,0.7006139400505598,0.8532473244392318,0.7694341618191433,0.661367747677224,0.6258981483139328,0.6276416092114584,0.3985489721886336,0.8532473244392318,0.8293756687535543,0.7411281789097508,,
rank average: binary + expected + P45,rank_avg_binary_expected_p45,F1-optimal,0.167,0.6809967141292442,0.6792412157792628,0.9239114499340273,0.7829057705447543,0.6849722169480342,0.6021008277481503,0.5908335837069204,0.2802902055622733,0.9239114499340273,0.8366095599173242,0.7527446978505636,,
rank average: binary + expected + P45,rank_avg_binary_expected_p45,macro-F1-optimal,0.379,0.6965133260313984,0.7569832402234636,0.754874651810585,0.7559274755927475,0.6772398146230463,0.677558244889573,0.6773967212684452,0.600241837968561,0.754874651810585,0.8366095599173242,0.7527446978505636,,
rank average: binary + expected + P45,rank_avg_binary_expected_p45,balanced recall 123/45,0.454,0.684465133260314,0.7814591700133868,0.6846503445242633,0.7298585606001406,0.6747657295850067,0.6844049787917568,0.6752968063560221,0.6841596130592503,0.6846503445242633,0.8366095599173242,0.7527446978505636,0.0004907314650129946,0.6841596130592503
rank average: binary + expected + P45,rank_avg_binary_expected_p45,precision-optimal @ recall>=0.70,0.436,0.6863818912011683,0.7745336577453366,0.7000439818208474,0.7354073617742184,0.6737414688225744,0.6819446027604841,0.6752322491147588,0.6638452237001209,0.7000439818208474,0.8366095599173242,0.7527446978505636,,
