threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.753,0.6096202993793355,0.8640526617057813,0.44260372379416507,0.5853611245758604,0.6772688931686237,0.6638653443638298,0.6082794240625271,0.8851269649334945,0.44260372379416507,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.754,0.6088901058780577,0.8645773433007475,0.44084445096026975,0.5839401883678027,0.6772739618349151,0.6634693838840043,0.6074785760576635,0.8860943168077389,0.44084445096026975,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.755,0.608433734939759,0.8650129795211999,0.43967160240433956,0.5830093312597201,0.6773322341857568,0.6632457165588808,0.6069726628769351,0.886819830713422,0.43967160240433956,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.756,0.6075209930631618,0.8652564474065488,0.43776572350095294,0.581386292834891,0.6771318879271252,0.6626555340600291,0.6059852426373767,0.8875453446191052,0.43776572350095294,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.757,0.6065169769989047,0.8652502910360885,0.4358598445975663,0.5797016671541386,0.676774081688257,0.6619444325768968,0.6049087486349845,0.8880290205562273,0.4358598445975663,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.758,0.6063344286235852,0.8662383177570093,0.4348336021111274,0.5790141532454856,0.6772110335465875,0.66203590625508,0.6046695005534877,0.8892382103990326,0.4348336021111274,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.759,0.6056042351223074,0.8663540445486518,0.43336754141621464,0.5777386885566305,0.6770131834620248,0.6615447138761847,0.6038791910117685,0.8897218863361548,0.43336754141621464,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.76,0.6052391383716685,0.8668430335097002,0.4323412989297757,0.5769343636897193,0.6771334574485223,0.6613943495858068,0.6034641875767444,0.890447400241838,0.4323412989297757,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.761,0.6053304125593282,0.8683977574505753,0.431461662512828,0.5764936336924584,0.677954660408914,0.6618009642672967,0.603492074067217,0.8921402660217654,0.431461662512828,0.8325673025824922,0.7477942877524368,mild binary MLP P45
0.762,0.6046002190580504,0.8685223571217057,0.42999560181791524,0.5752108256520887,0.6777629597984831,0.6613097718884013,0.60269846387607,0.8926239419588875,0.42999560181791524,0.8325673025824922,0.7477942877524368,mild binary MLP P45
