threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.5690000000000001,0.6914019715224534,0.7685821361648969,0.721595074036065,0.7443478260869565,0.6757014371509897,0.681595602314284,0.6775727849209964,0.641596130592503,0.721595074036065,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5700000000000001,0.690854326396495,0.7690379191476027,0.7195425890631872,0.7434673937741423,0.6754022127438932,0.6815367117020894,0.6772796837971642,0.6435308343409916,0.7195425890631872,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5710000000000001,0.6904892296458561,0.7696540880503144,0.7176367101598006,0.7427357560124421,0.6752970179154967,0.6816720431089208,0.6771747729781601,0.6457073760580411,0.7176367101598006,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5720000000000001,0.6900328587075575,0.7700678126478473,0.7158774373259053,0.7419845008357393,0.6750664090324827,0.6816388395819368,0.6769351075607268,0.6474002418379685,0.7158774373259053,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5730000000000001,0.6897590361445783,0.7703001579778831,0.7148511948394664,0.7415405672572428,0.6749252627329969,0.6816093942758397,0.6767855786862632,0.6483675937122129,0.7148511948394664,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5740000000000001,0.6889375684556407,0.7702296120348376,0.713091922005571,0.7405602923264312,0.6742766245910021,0.6810925148117335,0.6761142391440724,0.649093107617896,0.713091922005571,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5750000000000001,0.688481197517342,0.7704761904761904,0.7116258613106583,0.7398826308970353,0.6740052773686793,0.6809640793856798,0.6758223301226162,0.6503022974607013,0.7116258613106583,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5760000000000001,0.6879335523913838,0.7712053571428571,0.7091335581293066,0.7388680974566563,0.6738178792546053,0.6810480366220898,0.6755912094041417,0.652962515114873,0.7091335581293066,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.577,0.6879335523913838,0.7718989769820972,0.7079607095733763,0.7385485967729601,0.6740345948740274,0.6814289642183688,0.6757825043853483,0.6548972188633615,0.7079607095733763,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.578,0.6872946330777656,0.772078858791473,0.706201436739481,0.7376722817764165,0.6736162790883378,0.6811539227228239,0.6753205511909647,0.6561064087061669,0.706201436739481,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.579,0.6870208105147865,0.772668810289389,0.704588769975077,0.7370600414078675,0.673602141631181,0.6813149412148662,0.6752598144137748,0.6580411124546554,0.704588769975077,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.58,0.6861080686381891,0.7727419354838709,0.7023896789327078,0.7358881806312879,0.6729563335955939,0.6808199906150842,0.6745462722974234,0.6592503022974607,0.7023896789327078,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.581,0.685469149324571,0.7730140753923314,0.7004838000293212,0.7349638517151208,0.6725803361254851,0.6805925650690741,0.6741036991460003,0.660701330108827,0.7004838000293212,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.582,0.6851953267615918,0.7737012987012987,0.6987245271954259,0.7343039827440104,0.6726096151554867,0.6808011995106513,0.6740605122543253,0.6628778718258767,0.6987245271954259,0.8374511989407416,0.7531283377477656,OOF ridge stacker
