uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
Frontmusic,3,0.3333333333333333,0.6666666666666666,0.9798686,0.33981264,fx-o
Gamexplosion,3,0.3333333333333333,0.6666666666666666,0.90175295,0.31355882,m-m
Gorkovoy,3,0.3333333333333333,0.3333333333333333,0.5610896,0.17060351,is-s
HenryTheGuy,3,0.3333333333333333,1.0,0.56841016,0.30510184,fx-h
Isaac1708,3,0.3333333333333333,1.0,0.6808839,0.25223705,fx-v
Katarina2506,3,0.3333333333333333,0.3333333333333333,0.8576352,0.3880663,ss-n
Kinoton,3,0.3333333333333333,1.0,0.73367167,0.30840632,fx-m
ManDaKi,3,0.3333333333333333,0.3333333333333333,0.58101606,0.15514524,is-p
PercussionCabinet,3,0.3333333333333333,1.0,0.8096919,0.2078297,fx-o
QuartzMMN,3,0.3333333333333333,0.3333333333333333,0.84559727,0.34965196,ss-n
Sauris,3,0.3333333333333333,0.3333333333333333,0.38594198,0.27879918,is-e
WhisperingEarth,3,0.3333333333333333,0.3333333333333333,0.8279225,0.26607057,fx-a
Zabuhailo,3,0.3333333333333333,0.6666666666666666,0.9059344,0.27521214,fx-m
ZeosPantera,3,0.3333333333333333,0.3333333333333333,0.7485667,0.17036146,ss-u
andrelbrasil,3,0.3333333333333333,0.6666666666666666,0.68802524,0.2791223,ss-u
brilliantsystem,3,0.3333333333333333,0.3333333333333333,0.94299525,0.30326945,is-p
ched42069,3,0.3333333333333333,0.6666666666666666,0.6249437,0.34521732,ss-n
chrbionn,3,0.3333333333333333,0.3333333333333333,0.8196543,0.46794116,ss-n
crumptetr,3,0.3333333333333333,1.0,0.679564,0.5181401,fx-o
felinorama,3,0.3333333333333333,1.0,0.7049548,0.43166816,ss-u
foxmox,3,0.3333333333333333,0.3333333333333333,0.8565896,0.223562,ss-n
fudgealtoid,3,0.3333333333333333,1.0,0.94100887,0.30621937,fx-o
giobeb,3,0.3333333333333333,1.0,0.90211964,0.33557007,fx-ex
heavensizeseven,3,0.3333333333333333,1.0,0.90762234,0.29613808,fx-h
jackiecalistahhh,3,0.3333333333333333,0.3333333333333333,0.9532264,0.33171842,sp-s
jolilius,3,0.3333333333333333,1.0,0.6885101,0.28112897,ss-u
larsn.wav,3,0.3333333333333333,0.3333333333333333,0.76010084,0.3382131,ss-n
madmerv,3,0.3333333333333333,1.0,0.6181763,0.5114297,m-sp
neolapon,3,0.3333333333333333,1.0,0.4398396,0.22243594,fx-h
noisymichael,3,0.3333333333333333,0.3333333333333333,0.65358824,0.5432815,ss-n
nyfeukgia,3,0.3333333333333333,0.6666666666666666,0.8393533,0.3777777,m-sp
ramonarqu,3,0.3333333333333333,0.3333333333333333,0.6114996,0.33207983,fx-el
renrenrenrenren,3,0.3333333333333333,1.0,0.6434508,0.25518253,fx-h
slagathor666,3,0.3333333333333333,0.3333333333333333,0.50437695,0.34262422,is-e
wkalmar,3,0.3333333333333333,0.3333333333333333,0.5889413,0.2701495,ss-s
SieuAmThanh,193,0.33678756476683935,0.8704663212435233,0.6077424,0.36211708,fx-el
DeqstersLab,20,0.35,0.85,0.68944883,0.37200722,fx-o
johnjohnfm,45,0.35555555555555557,0.4,0.61920255,0.27843297,fx-el
CVLTIV8R,2999,0.3561187062354118,0.6348782927642548,0.8068185,0.32702407,fx-o
